
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0099                          C33                               69   1      1   1   1 1           1 0 XSIG030335          (692-62-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0099                          C33                               69   1      2   1   1 2           2 0 XSIG030336          (692-63-13)
10-0099                          C34                               68   1      1   1   1 1           1 0 XSIG030336          (692-63-13)
10-0099                          C34                               68   1      2   1   1 2           2 0 XSIG030338          (692-64-13)
10-0099                          C35                               67   1      1   1   1 1           1 0 XSIG030336          (692-63-13)
10-0099                          C35                               67   1      2   1   1 2           2 0 XSIG030338          (692-64-13)
10-0103                          C1                                 6   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0103                          C1                                 6   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0103                          C2                                 8   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0103                          C2                                 8   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0103                          C3                                 7   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0103                          C3                                 7   1      2   1   1 2           2 0 GND                 (2-5-13)
20-0032                          D2                                47   1      1   1   1 2           2 0 P_VCC               (692-1-13)
20-0032                          D2                                47   1      2   2   1 1           1 0 XSIG030229          (692-45-13)
20-0032                          D3                                48   1      1   1   1 2           2 0 XSIG030229          (692-45-13)
20-0032                          D3                                48   1      2   2   1 1           1 0 XSIG030197          (692-41-13)
20-0032                          D4                                46   1      1   1   1 2           2 0 P_VCC               (692-1-13)
20-0032                          D4                                46   1      2   2   1 1           1 0 XSIG030281          (692-52-13)
20-0032                          D5                                45   1      1   1   1 2           2 0 XSIG030281          (692-52-13)
20-0032                          D5                                45   1      2   2   1 1           1 0 XSIG030273          (692-49-13)
20-0039                          D1                                37   1      1   1   1 A           1 0 XSIG020499          (692-28-13)
20-0039                          D1                                37   1      2   2   1 C           2 0 GND                 (2-5-13)
40-0115                          U4                                55   1      1   1   1 4           4 0 XSIG010868          (744-1-13)
40-0115                          U4                                55   1      2   2   1 8           8 0 P_VCC               (692-1-13)
40-0115                          U4                                55   1      3   3   1 1           1 0 VCC                 (2-6-13)
40-0115                          U4                                55   1      4   4   1 2           2 0 VCC                 (2-6-13)
40-0115                          U4                                55   1      5   5   1 5           5 0 P_VCC               (692-1-13)
40-0115                          U4                                55   2      1   1   2 3           3 0 GND                 (2-5-13)
40-0115                          U4                                55   2      1   1   3 6           6 0 GND                 (2-5-13)
40-0115                          U4                                55   2      1   1   4 7           7 0 GND                 (2-5-13)
40-0138                          U5                                 1   1      1   1   1 44         44 0 XSIG020508          (692-32-13)
40-0138                          U5                                 1   1      2   2   1 20         20 0 XSIG020274          (71-11-13)
40-0138                          U5                                 1   1      3   3   1 40         40 0                     (0-0-0)
40-0138                          U5                                 1   1      4   4   1 37         37 0 SWD_SWCLK/TCK       (692-8-13)
40-0138                          U5                                 1   1      5   5   1 38         38 0 SWD_TDI             (692-6-13)
40-0138                          U5                                 1   1      6   6   1 39         39 0 SWD_SWO/TDO         (692-7-13)
40-0138                          U5                                 1   1      7   7   1 34         34 0 SWD_SWDIO/TMS       (692-9-13)
40-0138                          U5                                 1   1      8   8   1 5           5 0 XSIG020284          (71-15-13)
40-0138                          U5                                 1   1      9   9   1 6           6 0 XSIG020285          (71-16-13)
40-0138                          U5                                 1   1     10  10   1 10         10 0 LD_GSCK             (692-18-13)
40-0138                          U5                                 1   1     11  11   1 11         11 0                     (0-0-0)
40-0138                          U5                                 1   1     12  12   1 12         12 0 LD_GSLAT            (692-17-13)
40-0138                          U5                                 1   1     13  13   1 13         13 0                     (0-0-0)
40-0138                          U5                                 1   1     14  14   1 14         14 0                     (0-0-0)
40-0138                          U5                                 1   1     15  15   1 15         15 0 LD_GSSCK            (692-20-13)
40-0138                          U5                                 1   1     16  16   1 16         16 0                     (0-0-0)
40-0138                          U5                                 1   1     17  17   1 17         17 0 LD_GSSIN            (692-22-13)
40-0138                          U5                                 1   1     18  18   1 29         29 0 HB_IN1              (692-13-13)
40-0138                          U5                                 1   1     19  19   1 30         30 0                     (0-0-0)
40-0138                          U5                                 1   1     20  20   1 31         31 0 USB_ENABLE          (692-31-13)
40-0138                          U5                                 1   1     21  21   1 32         32 0 USB_DM              (692-10-13)
40-0138                          U5                                 1   1     22  22   1 33         33 0 USB_DP              (692-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0138                          U5                                 1   1     23  23   1 18         18 0 LD_XBLNK            (692-19-13)
40-0138                          U5                                 1   1     24  24   1 19         19 0 HB_EN3              (692-16-13)
40-0138                          U5                                 1   1     25  25   1 41         41 0                     (0-0-0)
40-0138                          U5                                 1   1     26  26   1 42         42 0                     (0-0-0)
40-0138                          U5                                 1   1     27  27   1 43         43 0                     (0-0-0)
40-0138                          U5                                 1   1     28  28   1 45         45 0                     (0-0-0)
40-0138                          U5                                 1   1     29  29   1 46         46 0 LED                 (692-29-13)
40-0138                          U5                                 1   1     30  30   1 21         21 0                     (0-0-0)
40-0138                          U5                                 1   1     31  31   1 22         22 0                     (0-0-0)
40-0138                          U5                                 1   1     32  32   1 25         25 0 HB_EN2              (692-15-13)
40-0138                          U5                                 1   1     33  33   1 26         26 0 HB_EN1              (692-14-13)
40-0138                          U5                                 1   1     34  34   1 27         27 0 HB_IN2              (692-12-13)
40-0138                          U5                                 1   1     35  35   1 28         28 0                     (0-0-0)
40-0138                          U5                                 1   1     36  36   1 2           2 0                     (0-0-0)
40-0138                          U5                                 1   1     37  37   1 3           3 0                     (0-0-0)
