
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0251                          U1                                45   1     12  12   1 4           5 0 UART_NRF_to_STM     (1001-33-13)
40-0251                          U1                                45   1     13  13   1 5           6 0 UART_STM_to_NRF     (1001-34-13)
40-0251                          U1                                45   1     14  14   1 6           7 0                     (0-0-0)
40-0251                          U1                                45   1     15  15   1 7           8 0 ADC_BAT             (1001-65-13)
40-0251                          U1                                45   1     16  16   1 8           9 0                     (0-0-0)
40-0251                          U1                                45   1     17  17   1 9          10 0                     (0-0-0)
40-0251                          U1                                45   1     18  18   1 10         11 0                     (0-0-0)
40-0251                          U1                                45   1     19  19   1 11         12 0 LED_nRF             (1001-64-13)
40-0251                          U1                                45   1     20  20   1 14         15 0                     (0-0-0)
40-0251                          U1                                45   1     21  21   1 15         16 0 XSIG020137          (1386-1-13)
40-0251                          U1                                45   1     22  22   1 16         17 0 XSIG020139          (1386-2-13)
40-0251                          U1                                45   1     23  23   1 17         18 0                     (0-0-0)
40-0251                          U1                                45   1     24  24   1 18         19 0                     (0-0-0)
40-0251                          U1                                45   1     25  25   1 19         20 0                     (0-0-0)
40-0251                          U1                                45   1     26  26   1 20         21 0                     (0-0-0)
40-0251                          U1                                45   1     27  27   1 21         22 0                     (0-0-0)
40-0251                          U1                                45   1     28  28   1 22         23 0                     (0-0-0)
40-0251                          U1                                45   1     29  29   1 25         26 0                     (0-0-0)
40-0251                          U1                                45   1     30  30   1 26         27 0                     (0-0-0)
40-0251                          U1                                45   1     31  31   1 27         28 0                     (0-0-0)
40-0251                          U1                                45   1     32  32   1 28         29 0                     (0-0-0)
40-0251                          U1                                45   1     33  33   1 40         41 0                     (0-0-0)
40-0251                          U1                                45   1     34  34   1 41         42 0                     (0-0-0)
40-0251                          U1                                45   1     35  35   1 42         43 0                     (0-0-0)
40-0251                          U1                                45   1     36  36   1 43         44 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0251                          U1                                45   1     37  37   1 44         45 0                     (0-0-0)
40-0251                          U1                                45   1     38  38   1 45         46 0 XSIG020087          (1001-61-13)
40-0251                          U1                                45   1     39  39   1 46         47 0 XSIG020090          (1001-62-13)
40-0251                          U1                                45   1     40  40   1 47         48 0                     (0-0-0)
40-0251                          U1                                45   1     41  41   1 48         49 0                     (0-0-0)
40-0251                          U1                                45   1     42  42   1 3           4 0                     (0-0-0)
40-0251                          U1                                45   1     43  43   1 24         25 0 SWD_SWCLK/TCK_p02   (1001-53-13)
40-0251                          U1                                45   1     44  44   1 23         24 0 SWD_SWDIO/TMS_p02   (1001-54-13)
40-0251                          U1                                45   1     45  45   1 30         31 0 VDD_PA              (1001-58-13)
40-0251                          U1                                45   1     46  46   1 1           2 0 VCC                 (43-2-13)
40-0251                          U1                                45   1     47  47   1 12         13 0 VCC                 (43-2-13)
40-0251                          U1                                45   1     48  48   1 37         38 0 XSIG020124          (1049-1-13)
40-0251                          U1                                45   1     49  49   1 38         39 0 XSIG020125          (1049-2-13)
40-0253                          U16                              138   1      1   1   1 9           9 0 GND                 (43-1-13)
40-0253                          U16                              138   1      2   2   1 7           7 0                     (0-0-0)
40-0253                          U16                              138   1      3   3   1 6           6 0                     (0-0-0)
40-0253                          U16                              138   1      4   4   1 1           1 0 GND                 (43-1-13)
40-0253                          U16                              138   1      5   5   1 20         20 0 XSIG070018          (1241-2-13)
40-0253                          U16                              138   1      6   6   1 11         11 0 GND                 (43-1-13)
40-0253                          U16                              138   1      7   7   1 12         12 0 MPU_INT             (1233-1-13)
40-0253                          U16                              138   1      8   8   1 10         10 0 XSIG070015          (1241-1-13)
40-0253                          U16                              138   1      9   9   1 23         23 0 MPU_SCL             (1233-2-13)
40-0253                          U16                              138   1     10  10   1 24         24 0 MPU_SDA             (1233-3-13)
40-0253                          U16                              138   1     11  11   1 8           8 0 VCC                 (43-2-13)
40-0253                          U16                              138   2      1   1   2 3           3 0 VCC                 (43-2-13)
40-0253                          U16                              138   2      1   1   3 13         13 0 VCC                 (43-2-13)
40-0253                          U16                              138   3      1   1   4 15         15 0 GND                 (43-1-13)
40-0253                          U16                              138   3      1   1   5 17         17 0 GND                 (43-1-13)
40-0253                          U16                              138   3      1   1   6 18         18 0 GND                 (43-1-13)
40-0253                          U16                                0   4      1   1   7 2           2 1                     (0-0-0)
